candidate_id,rank,score,reasoning
CAND_0078002,91,0.5594,"Rank 91: Machine Learning Engineer at Meta (6.3 yrs exp, Internet). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Coimbatore, Tamil Nadu. recruiter response rate 0.86, notice period 60d, last active 67d ago. Semantic JD match 0.42."
CAND_0098846,92,0.5594,"Rank 92: AI Engineer at upGrad (7.6 yrs exp, EdTech). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Indore, Madhya Pradesh, open to relocation. recruiter response rate 0.62, notice period 45d, last active 65d ago. Semantic JD match 0.33."
CAND_0044883,93,0.5593,"Rank 93: AI Engineer at Mad Street Den (6.3 yrs exp, AI/ML). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based outside India (Berlin) — visa sponsorship is a concern per JD. recruiter response rate 0.84, notice period 90d, last active 51d ago. concerns: long notice period (90d). Semantic JD match 0.49."
CAND_0051292,94,0.5588,"Rank 94: Applied ML Engineer at Freshworks (5.2 yrs exp, SaaS). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Trivandrum, Kerala. recruiter response rate 0.52, notice period 30d, last active 76d ago. Semantic JD match 0.32."
CAND_0089552,95,0.5564,"Rank 95: Machine Learning Engineer at Netflix (6.0 yrs exp, Media). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Kolkata, West Bengal, open to relocation. recruiter response rate 0.49, notice period 120d, last active 61d ago. concerns: long notice period (120d). Semantic JD match 0.42."
CAND_0006418,96,0.5562,"Rank 96: Machine Learning Engineer at Verloop.io (5.7 yrs exp, Conversational AI). matches on ranking evaluation (NDCG/MRR/MAP). based in Gurgaon, Haryana, open to relocation. recruiter response rate 0.92, notice period 60d, last active 88d ago. Semantic JD match 0.40."
CAND_0028793,97,0.5526,"Rank 97: Search Engineer at Google (7.2 yrs exp, Internet). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Trivandrum, Kerala, open to relocation. recruiter response rate 0.57, notice period 120d, last active 75d ago. concerns: long notice period (120d). Semantic JD match 0.40."
CAND_0009691,98,0.5519,"Rank 98: Applied ML Engineer at LinkedIn (6.2 yrs exp, Internet). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Indore, Madhya Pradesh, open to relocation. recruiter response rate 0.64, notice period 120d, last active 42d ago. concerns: long notice period (120d). Semantic JD match 0.40."
CAND_0012957,99,0.5519,"Rank 99: Search Engineer at Razorpay (4.9 yrs exp, Fintech). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Chennai, Tamil Nadu, open to relocation. recruiter response rate 0.67, notice period 120d, last active 56d ago. concerns: long notice period (120d). Semantic JD match 0.47."
CAND_0001610,100,0.5501,"Rank 100: Machine Learning Engineer at Dream11 (3.0 yrs exp, Gaming). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Trivandrum, Kerala, open to relocation. recruiter response rate 0.57, notice period 90d, last active 76d ago. concerns: long notice period (90d). Semantic JD match 0.47."
